OldWord,OldStem,NewWord,NewStem
abs tē,\babs tē\b,ā tē,ā tē
annūntiō,\bannūnti,adnūntiō,adnūnti
appropinquō,\bappropinqu,adpropinquō,adpropinqu
circuitus,\bcircuit,circumitus,circumit
exurgō,\bexurg,exsurgō,exsurg
exultātiō,\bexultātiō,exsultātiō,exsultātiō
exultō,\bexult,exsultō,exsult
iis,\biis,eīs,eīs
iīs,\biīs,eīs,eīs
intelligō,\bintelli,intellegō,intelle
mētībor,\bmētībor,mētiar,mētiar
metibor,\bmetibor,mētiar,mētiar
praesēns,\bpraesēn,praesens,praesen
sēmetipse,\bsēmetip,sēmet ipse,sēmet ip
semetipse,\bsemetip,sēmet ipse,sēmet ip
