OldWord,OldStem,NewWord,NewStem
Alphaeus,\bAlphae,Alfeus,Alfe
Asaph,\bAsaph,Āsaf,Āsaf
Beelphegor,\bBeelphegor,Baalfegor,Baalfegor
blasphēmia,\bblasphēmi,blasfēmia,blasfēmi
blasphēmō,\bblasphēm,blasfēmō,blasfēm
Capharnāum,\bCapharnāum,Cafarnāum,Cafarnāum
Cafarnaum,\bCafarnaum,Cafarnāum,Cafarnāum
Cēphās,\bCēph,Cēfās,Cēf
colaphus,\bcolaph,colafus,colaf
cophinus,\bcophin,cofinus,cofin
Ephraim,\bEphraim,Efrāim,Efrāim
Ephrata,\bEphrata,Efrāta,Efrāta
gazophylacium,\bgazophylaci,gazofilacium,gazofilacium
gazophilacium,\bgazophilaci,gazofilacium,gazofilacium
Ioseph,\bIoseph,Iōsef,Iōsef
Iōsēph,\bIōsēph,Iōsef,Iōsef
orphanus,\borphan,orfanus,orfan
phantasma,\bphantasma,fantasma,fantasma
pharetra,\bpharentr,faretra,faretr
pharīsaeus,\bpharīsae,farīsaeus,farīsae
prophēta,\bprophēt,profēta,profēt
pseudoprophēta,\bpseudoprophēt,pseudoprofēta,pseudoprofēt
sulphur,\bsulphur,sulfur,sulfur
Syrophoenissa,\bSyrophoeniss,Sirophoenissa,Sirophoeniss
Syrofoenissa,\bSyrofoeniss,Sirofoenissa,Sirofoeniss
