OldWord,OldStem,NewWord,NewStem
abiectiō,abiectiō,abjectiō,abjectiō
abiciō,abic,abjiciō,abjici
abiciō,abiēc,abjiciō,abjēc
adiūtō,adiūt,adjūtō,adjūt
adiūtor,adiūt,adjūtor,adjūt
adiūtōrium,adiūtōri,adjūtōrium,adjūtōri
adiuvō,adiuv,adjuvō,adjuv
bāiulō,bāiul,bājulō,bājul
Beniamin,Beniamin,Benjamin,Benjamin
circumiciō,circumici,circumjiciō,circumjici
circumiciō,circumiēc,circumjiciō,circumjēc
coniūnctus,coniūnct,conjūnctus,conjūnct
cui,cui\b,cuj,cuj
cuius,cuius,cujus,cujus
deiciō,deici,dejiciō,dejici
deiciō,deiēc,dejiciō,dejēc
dīiūdicō,dīiūdic,dījūdicō,dījūdic
disiciō,disic,disjiciō,disjici
disiciō,disiēc,disjiciō,disjēc
eiciō,eic,ejiciō,ejici
eiciō,eiēc,ejiciō,ejēc
eius,eius,ejus,ejus
hui,hui\b,huj,huj
huic,huic\b,hujc,hujc
huius,huius,hujus,hujus
iniciō,inici,injiciō,injici
iniciō,iniēc,injiciō,injēc
iniūria,iniūri,injūria,injūri
iniūrius,iniūri,injūrius,injūri
iniūstē,iniūstē,injūstē,injūstē
iniūstitia,iniūstiti,injūstitia,injūstiti
iniūstus,iniūst,injūstus,injūst
Iabin,Iabin,Jabin,Jabin
iaceō,iac,jaceō,jac
iacēns,iacēn,jacēns,jacēn
Iacob,Iacob,Jācōb,Jācōb
Jacob,Jacob,Jācōb,Jācōb
Iacōb,Iacōb,Jācōb,Jācōb
Iacōb,Iacōb,Jācōb,Jācōb
Iācōbus,Iācōb,Jācōbus,Jācōb
iactantia,iactanti,jactantia,jactanti
iactō,iact,jactō,jact
iaculum,iacul,jaculum,jacul
Iairus,Iairus,Jairus,Jairus
iam,iam,jam,jam
iānua,jānu,jānua,jānu
iecur,iecur,jecur,jecur
iecur,iecor,jecur,jecor
iēiūnium,iēiūni,jējūnium,jējūni
Iemini,Iemini,Jeminī,Jeminī
Īeremīas,Īeremī,Jēremīas,Jēremī,
Ieremīas,Ieremī,Jēremīas,Jēremī,
Hieremīas,Hieremī,Jēremīas,Jēremī,
Ierīchō,Ierīchō,Jerichō,Jerichō
Hierichō,Hierichō,Jerichō,Jerichō
Hierosolima,Hierosolim,Jerosolima,Jerosolim
Hierosolyma,Hierosolym,Jerosolima,Jerosolim
Hierūsalēm,Hierūsalēm,Jerusalem,Jerusalem
Hierusalem,Hierusalem,Jerusalem,Jerusalem
Jerūsalēm,Jerūsalēm,Jerusalem,Jerusalem
Iesse,Iesse,Jesse,Jesse
Iēsūs,Iēsū,Jēsūs,Jēsū
Iēsūs,Iēsum,Jēsūs,Jēsum
Ioab,Ioab,Joab,Joab
Ioannes,Ioann,Joannes,Joann
Ionadab,Ionadab,Jonadab,Jonadab
Iordānis,Iordān,Jordānis,Jordān
Iōsēph,Iōsēph,Jōsēf,Jōsēf
iubar,iubar,jubar,jubar
iubeō,iub,jubeō,jub
iūbilātiō,iūbilātiō,jūbilātiō,jūbilātiō
iūbilō,jūbil,jūbilō,jūbil
iūcundus,iūcund,jūcundus,jūcund
Iūda,Iūda,Jūda,Jūda
Iūdaea,Iūda,Iūdaea,Iūdae
iūdex,iūdex,jūdex,jūdex
iūdex,iūdic,jūdex,jūdic
iūdicium,iūdici,jūdicium,jūdici
iūdicō,iūdic,jūdicō,jūdic
iūgiter,iūgiter,jūgiter,jūgiter
iugum,iug,jugum,jug
iūmentum,iūment,jūmentum,jūment
iungō,iung,jungō,jung
iungō,iūnx,jungō,jūnx
iūrāmentum,iūrāment,jūrāmentum,jūrāment
iūrō,iūr,jūrō,jūr
iussus,iuss,jussus,juss
iūstificātiō,iūstificātiō,jūstificātiō,jūstificātiō
iūstificō,iūstific,jūstificō,jūstific
iūstificō,iustific,jūstificō,jūstific
iūstitia,iūstiti,jūstitia,jūstiti
iūstus,iūst,jūstus,jūst
iuvenculus,iuvencul,juvenculus,juvencul
iuvenis,iuven,juvenis,juven
iuventūs,iuventū,juventūs,juventū
iūxtā,iūxtā,jūxtā,jūxtā
maior,mai,major,maj
maiestās,maiestā,majestās,majestā
obiciō,obic,objiciō,objic
obiciō,obiēc,objiciō,objēc
prōiciō,prōici,prōjiciō,prōjici
prōiciō,prōiēc,prōjiciō,prōjēc
subiciō,subici,subjiciō,subjici
subiciō,subiēc,subjiciō,subjēc
supericiō,superici,superjiciō,superjici
supericiō,superiēc,superjiciō,superjēc
trāiciō,trāici,trājiciō,trājici
trāiciō,trāiēc,trājiciō,trājēc
